"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"6742","10/04/2005",2006,1000,"RW","EXECUTIVE","BANK OF AMERICA","Bank of America","i3003415754 "
"6743","10/16/2006",2006,1000,"RW","LOBBYIST","GOLDMAN SACHS","Goldman Sachs","e1110780653 "
"6744","09/29/2005",2006,1000,"RW","COMPUTER ANALYST","BANK OF AMERICA","Bank of America","h3001923880 "
"6745","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6746","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6747","10/26/2006",2006,250,"PI","DATABASE CONSULTANT","WELLS FARGO","Meredith Corp","h3001466482 "
"6748","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6749","10/30/2006",2006,1000,"PI","INVESTMENT BANKING","MORGAN STANLEY","Morgan Stanley","f1000166469 "
"6750","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6751","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6752","10/28/2006",2006,200,"PI","PRODUCT MANAGER","MORGAN STANLEY","Morgan Stanley","h3001708135 "
"6753","06/07/2006",2006,1000,"PI","EXECUTIVE","BANK OF AMERICA","Bank of America","h3001538402 "
"6754","12/07/2005",2006,1000,"PI","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003515187 "
"6755","10/26/2006",2006,2100,"PI","SENIOR VICE PRESIDENT","MERRILL LYNCH","Merrill Lynch","f0000022408 "
"6756","10/06/2006",2006,1000,"RL","BANKER","MORGAN STANLEY","Morgan Stanley","i3003836759 "
"6757","06/30/2006",2006,1000,"DW","FIRST VICE PRESIDENT/SENIOR FINANCIAL","MERRILL LYNCH","Merrill Lynch","c0100228389 "
"6758","10/13/2006",2006,2000,"RW","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003972486@"
"6759","02/15/2006",2006,5000,"PI","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","a0000797672 "
"6760","08/16/2006",2006,300,"RW","BANKER","BANK OF AMERICA","Bank of America","i3003567026 "
"6761","09/25/2006",2006,2000,"RW","STOCK BROKER","MORGAN STANLEY","Morgan Stanley","i3003343249@"
"6762","10/30/2006",2006,200,"DW","MANAGER","BANK OF AMERICA","Bank of America","m0001321526 "
"6763","09/28/2006",2006,250,"DP","TECH MANAGER","BANK OF AMERICA","Bank of America","i3003887743 "
"6764","02/08/2005",2006,205,"DP","INVESTMENT BANKER","JP MORGAN","JPMorgan Chase & Co","i3003140278 "
"6765","05/18/2006",2006,200,"RL","INVESTMENT PROFESSIONAL","MORGAN STANLEY","Morgan Stanley","i3003774133 "
"6766","08/20/2006",2006,340,"DW","BANKER","BANK OF AMERICA","Bank of America","i3003724474 "
"6767","05/18/2006",2006,200,"RL","INVESTMENT PROFESSIONAL","MORGAN STANLEY","Morgan Stanley","i3003774133 "
"6768","09/30/2005",2006,500,"DW","ASSSITANT MANAGER","BANK OF AMERICA","Bank of America","i3003377659@"
"6769","06/30/2006",2006,400,"DW","RETIRED","GOLDMAN SACHS","Dune Capital Management","U0000000056A"
"6770","10/12/2006",2006,500,"DW","FINANCE","GOLDMAN SACHS","Goldman Sachs","i3003792430 "
"6771","11/06/2006",2006,500,"DW","ANALYST","MORGAN STANLEY","Morgan Stanley","i3003943280 "
"6772","08/17/2005",2006,500,"RW","INVESTMENT BANKER","MERRILL LYNCH","Merrill Lynch","i3003429846 "
"6773","09/01/2006",2006,200,"DW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h3001580326 "
"6774","10/19/2006",2006,500,"DP","SALES","GOLDMAN SACHS","Goldman Sachs","f9000132863 "
"6775","12/19/2005",2006,500,"DW","DATA BASE ANALYST","BANK OF AMERICA","Bank of America","i3003515906 "
"6776","01/12/2006",2006,250,"RL","BANKER","WELLS FARGO","Wells Fargo","b0060459154 "
"6777","03/04/2006",2006,500,"PI","VICE PRESIDENT","GOLDMAN SACHS","Goldman Sachs","i3003641682 "
"6778","09/01/2006",2006,250,"RW","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003714673@"
"6779","04/06/2005",2006,250,"RP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003419287 "
"6780","11/04/2005",2006,250,"RL","ASSISTANT VP","MERRILL LYNCH","Merrill Lynch","h1001173734@"
"6781","09/19/2006",2006,250,"DP","LAWYER","MORGAN STANLEY","Morgan Stanley","i3003812496 "
"6782","07/12/2005",2006,250,"DW","BANKER","WELLS FARGO","Wells Fargo","i3003389473 "
"6783","06/30/2006",2006,250,"DW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003716263 "
"6784","04/18/2005",2006,250,"RL","INVESTMENT ADVISOR","MORGAN STANLEY","Morgan Stanley","e1110605388 "
"6785","12/28/2005",2006,250,"RL","BANKER","WELLS FARGO","Wells Fargo","b0060459154 "
"6786","10/24/2005",2006,219,"DP","BAHER","BANK OF AMERICA","Bank of America","i3003415633 "
"6787","02/15/2006",2006,5000,"PI","EXECUTIVE","MORGAN STANLEY","Morgan Stanley","f9000254851 "
"6788","10/05/2006",2006,300,"DL","STOCK BROKER","MORGAN STANLEY","Morgan Stanley","i3003867910 "
"6789","10/16/2006",2006,1200,"DL","MANAGER","BANK OF AMERICA","Bank of America","g1100870741 "
"6790","11/10/2005",2006,750,"PI","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","c1180081655 "
"6791","03/04/2005",2006,200,"RP","TELLER","BANK OF AMERICA","Bank of America","i3003188104 "
"6792","11/20/2006",2006,1000,"DW","ADVISOR","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"6793","11/02/2006",2006,200,"RP","PRODUCT MANAGER","BANK OF AMERICA","Bank of America","i3003956170 "
"6794","09/15/2005",2006,300,"DL","ATTORNEY","GOLDMAN SACHS","Goldman Sachs","i3003393013 "
"6795","07/25/2006",2006,200,"DL","ATTORNEY","BANK OF AMERICA","Bank of America","i3003913845 "
"6796","06/23/2006",2006,1000,"DL","INVESTMAN BANKER","JP MORGAN","JPMorgan Chase & Co","f0000141616 "
"6797","10/26/2006",2006,1000,"DL","INVESTMENT BANKER","GOLDMAN SACHS","Goldman Sachs","U0000004436 "
"6798","10/25/2006",2006,230,"DP","INFORMATION TECHNOLOGY","WELLS FARGO","Wells Fargo","i3003920759 "
"6799","02/07/2006",2006,1000,"PI","EXECUTIVE","BANK OF AMERICA","Bank of America","h3001574132 "
"6800","06/24/2005",2006,500,"DW","MD","MORGAN STANLEY","Morgan Stanley","i3003295651 "
"6801","09/30/2005",2006,1000,"RW","ATTORNEY","NORTHERN TRUST","Northern Trust","i3003377096 "
"6802","05/05/2006",2006,250,"RL","ASSISTANT VP","MERRILL LYNCH","Merrill Lynch","h1001173734@"
"6803","05/15/2006",2006,250,"RL","ASSISTANT VP","MERRILL LYNCH","Merrill Lynch","h1001173734@"
"6804","10/06/2005",2006,1000,"RP","BANKER","WELLS FARGO","Wells Fargo","d0000798641 "
"6805","06/26/2006",2006,500,"RW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","g1101189237 "
"6806","03/31/2005",2006,500,"DW","LAWYER","MERRILL LYNCH","Merrill Lynch","d0000756811 "
"6807","10/24/2006",2006,500,"DP","WELLSFARGO BANKE","WELLS FARGO","Wells Fargo","i3003936847 "
"6808","08/08/2005",2006,500,"RL","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h3001720220 "
"6809","09/15/2005",2006,500,"RP","FINANCIAL PLANNER","MERRILL LYNCH","Merrill Lynch","i3004200133 "
"6810","07/25/2006",2006,500,"DW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003823315 "
"6811","12/27/2006",2006,250,"PI","MARKETING EXECUTIVE","WELLS FARGO","Wells Fargo","e1110842270 "
"6812","11/11/2006",2006,250,"DP","MORTGAGE BANKER","WELLS FARGO","Wells Fargo","e1110787356 "
"6813","03/30/2005",2006,250,"RW","ATTORNEY","BANK OF AMERICA","Bank of America","i3003468751 "
"6814","10/25/2006",2006,250,"DL","ATTORNEY","MERRILL LYNCH","Merrill Lynch","i3003939433 "
"6815","09/01/2006",2006,500,"DW","EXECUTIVE","BANK OF AMERICA","Bank of America","i3003415633 "
"6816","03/08/2006",2006,250,"DL","PRESIDENT","WELLS FARGO","Wells Fargo","f1000274114 "
"6817","07/24/2006",2006,1000,"DW","RESEARCH ANALYST","MORGAN STANLEY","Morgan Stanley","i3003874660 "
"6818","10/11/2005",2006,250,"DP","ATTORNEY","GOLDMAN SACHS","Goldman Sachs","g1100527355 "
"6819","10/31/2006",2006,1000,"DP","INVESTMENT ADVISOR","GOLDMAN SACHS","Goldman Sachs","i3003936291 "
"6820","10/23/2006",2006,250,"RL","ASSISTANT VP","MERRILL LYNCH","Merrill Lynch","h1001173734@"
"6821","09/27/2005",2006,5000,"PI","INVESTMENT BANKER","GOLDMAN SACHS","Goldman Sachs","d0000703447 "
"6822","12/15/2005",2006,1000,"DW","PARTNER","GOLDMAN SACHS","Goldman Sachs","h3001774013 "
"6823","09/04/2006",2006,250,"DW","BANK BRANCH MANAGER","KEY BANK","Key Bank","i3003793235 "
"6824","11/18/2005",2006,2000,"DW","COMMERCIAL BANKER","FIRST BANK","First Bank Holding","d0000662826 "
"6825","03/10/2006",2006,1000,"DW","WEALTH ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003400343 "
"6826","06/09/2006",2006,500,"DL","FINANCE","BANK OF AMERICA","Bank of America","i3003669830 "
"6827","09/30/2005",2006,5000,"PI","VICE PRESIDENT","GOLDMAN SACHS","Goldman Sachs","d0000703447 "
"6828","06/03/2005",2006,300,"RP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","h3001687391 "
"6829","11/05/2005",2006,251,"RW","SOFTWARE ENGINEER","WELLS FARGO","Wells Fargo","i3003497299 "
"6830","12/23/2005",2006,400,"RL","HUMAN RESOURCES","MERRILL LYNCH","Merrill Lynch","i3003473069 "
"6831","10/12/2006",2006,1000,"DP","BANKER-RISK MANAGEMENT","BANK OF AMERICA","Bank of America","g1100677990 "
"6832","08/14/2006",2006,750,"RP","BANKER","BANK OF AMERICA","Bank of America","f0000223253 "
"6833","10/31/2006",2006,1000,"RL","FINANCIAL ADVISOR","WELLS FARGO","Wells Fargo","h1001402818@"
"6834","03/20/2006",2006,250,"DW","OPERATIONS MANAGEMENT","M&T BANK","M&T Bank","i3003624306 "
"6835","10/29/2006",2006,500,"DL","ATTORNEY","NORTHERN TRUST","Northern Trust","b0608527865 "
"6836","07/18/2005",2006,750,"RP","C.F.P.","MORGAN STANLEY","Morgan Stanley","h3001372889 "
"6837","10/23/2006",2006,5000,"PI","PRESIDENT & CEO","BANK OF AMERICA","Bank of America","Y0000040455L"
"6838","01/27/2005",2006,250,"RP","BANKER","BANK OF AMERICA","Bank of America","f0000223253 "
"6839","02/11/2005",2006,250,"RP","AUDITOR","WELLS FARGO","Wells Fargo","h3001949524 "
"6840","12/29/2005",2006,500,"DN","BANKING VP","KEY BANK","Key Bank","i3003532914 "
"6841","08/22/2005",2006,250,"RP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","h3001687391 "
"6842","11/10/2005",2006,250,"RP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","h3001687391 "
"6843","07/29/2005",2006,250,"RP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003351903 "
"6844","06/18/2005",2006,250,"RL","INFORMATION REQUESTED","MERRILL LYNCH","Merrill Lynch","g1100759919 "
"6845","05/22/2006",2006,500,"DL","INVESTMENT BANKER","GOLDMAN SACHS","Goldman Sachs","U0000004436 "
"6846","05/23/2006",2006,500,"DW","IT PROFESSIONAL","MERRILL LYNCH","Merrill Lynch","i3003651708 "
"6847","03/28/2005",2006,500,"DL","BANKER","JP MORGAN","JPMorgan Chase & Co","h3001837796 "
"6848","04/19/2005",2006,250,"RP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","h3001511620 "
"6849","10/01/2006",2006,250,"DP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003844984 "
"6850","09/09/2005",2006,250,"DL","BROKER","MERRILL LYNCH","Merrill Lynch","i3003385584 "
"6851","10/05/2006",2006,250,"DL","COMMERCIAL LENDER","WELLS FARGO","Wells Fargo","h3001269711 "
"6852","12/05/2005",2006,250,"DL","SEN VP","BANK OF AMERICA","Bank of America","i3003543899 "
"6853","10/03/2006",2006,250,"DP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","g1100419831 "
"6854","06/26/2005",2006,250,"DW","EXECUTIVE","MORGAN STANLEY","Morgan Stanley","i3003297143 "
"6855","12/30/2005",2006,250,"DW","DIRECTOR","MORGAN STANLEY","Morgan Stanley","i3003537966 "
"6856","03/15/2005",2006,250,"DW","CUSTOMER SERVICE","BANK OF AMERICA","Bank of America","i3003148477 "
"6857","01/12/2006",2006,250,"DL","SENIOR FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003313870 "
"6858","08/29/2006",2006,250,"DL","TRUST OFFICER","WELLS FARGO","Wells Fargo","i3003906848 "
"6859","10/23/2006",2006,250,"DW","FINANCE","GOLDMAN SACHS","Goldman Sachs","h1001335469 "
"6860","10/25/2006",2006,250,"DP","BANKER","BANK OF AMERICA","Bank of America","i3003724996 "
"6861","01/04/2006",2006,2000,"DL","MANAGING DIRECTOR","MORGAN STANLEY","Morgan Stanley","i30037804281"
"6862","03/18/2005",2006,2000,"DW","BANK OFFICER","BANK OF AMERICA","Bank of America","i30042175871"
"6863","09/22/2006",2006,250,"DW","BANKER","BANK OF AMERICA","Bank of America","i3003724996 "
"6864","10/12/2006",2006,4200,"RL","BANKER","BB&T","BB&T Corp","i30038539051"
"6865","09/19/2006",2006,2500,"PI","INVESTMENTS","MORGAN STANLEY","Morgan Stanley","f10002486851"
"6866","04/18/2005",2006,250,"RP","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i30032201621"
"6867","06/17/2006",2006,2100,"DL","MANAGING DIRECTOR","MORGAN STANLEY","Morgan Stanley","i30037804281"
"6868","07/16/2006",2006,2100,"DL","INVESTMENT BANKING","MORGAN STANLEY","Morgan Stanley","h30017949541"
"6869","03/18/2005",2006,2000,"DW","BANK OFFICER","BANK OF AMERICA","Bank of America","i30042175871"
"6870","12/19/2005",2006,2100,"DW","EXECUTIVE","GOLDMAN SACHS","Goldman Sachs","h10013703801"
"6871","12/29/2005",2006,250,"RL","BANKER","KEY BANK","KeyCorp","i30035149501"
"6872","07/26/2005",2006,500,"DW","BANKER","BANK OF AMERICA","Bank of America","h10011936291"
"6873","12/19/2005",2006,2100,"DW","EXECUTIVE","GOLDMAN SACHS","Goldman Sachs","h10013703801"
"6874","10/10/2006",2006,2500,"DP","FINANCE","MERRILL LYNCH","Merrill Lynch","i30038636011"
"6875","12/19/2005",2006,5000,"PI","EXECUTIVE","GOLDMAN SACHS","Goldman Sachs","h10013703801"
"6876","05/04/2006",2006,200,"RL","PRIVATE BANKER","BANK OF AMERICA","Bank of America","f00003012911"
"6877","04/21/2005",2006,250,"RW","FINANCIAL EXECUTIVE","WELLS FARGO","Wells Fargo","h10014028181"
"6878","02/03/2006",2006,500,"DW","BANKER","BANK OF AMERICA","Bank of America","h10011936291"
"6879","05/04/2006",2006,200,"RL","PRIVATE BANKER","BANK OF AMERICA","Bank of America","f00003012911"
"6880","12/19/2005",2006,4200,"RL","BANKING","MORGAN STANLEY","Morgan Stanley","b06085576551"
"6881","11/03/2006",2006,1000,"RL","SENIOR EVP","WELLS FARGO","Wells Fargo","d10077330951"
"6882","09/24/2006",2006,500,"RP","GLOBAL WEALTH MGMT","MORGAN STANLEY","Morgan Stanley","g11004461951"
"6883","11/06/2006",2006,2100,"DW","LIMITED PARTNER","GOLDMAN SACHS","Goldman Sachs","U00000000541"
"6884","05/24/2005",2006,1000,"DL","","MERRILL LYNCH","Merrill Lynch","h10111828991"
"6885","12/14/2005",2006,2000,"RW","INVESTMENTS","MORGAN STANLEY","Morgan Stanley","d10051915701"
"6886","09/15/2005",2006,1000,"RP","BROKER","MORGAN STANLEY","Morgan Stanley","d10051915701"
"6887","12/23/2005",2006,-2100,"RL","BANKING","MORGAN STANLEY","Morgan Stanley","b06085576551"
"6888","11/02/2006",2006,500,"RW","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","g11003925761"
"6889","03/24/2005",2006,4000,"RP","PRESIDENT & C O O","MORGAN STANLEY","Morgan Stanley","b06085420171"
"6890","10/14/2005",2006,25000,"RP","INVESTMENT BROKER","GOLDMAN SACHS","Goldman Sachs","f00002206861"
"6891","12/14/2005",2006,2100,"RL","CHAIRMAN","GOLDMAN SACHS","Goldman Sachs","U00000001861"
"6892","07/15/2005",2006,2500,"PI","CEO","MERRILL LYNCH","Merrill Lynch","f00000058431"
"6893","07/29/2005",2006,250,"RP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","h30019058221"
"6894","07/18/2006",2006,2100,"RW","EXEC","GOLDMAN SACHS","Goldman Sachs","h10013703801"
"6895","07/29/2005",2006,500,"RW","CFO","BANK OF AMERICA","Bank of America","b06084474631"
"6896","02/28/2005",2006,250,"RP","FINANCIAL SERVICES","MERRILL LYNCH","Merrill Lynch","h30019290671"
"6897","08/09/2005",2006,200,"RP","FINANCIAL EDITOR","MORGAN STANLEY","Morgan Stanley","h10013660201"
"6898","03/03/2006",2006,500,"RW","SENIOR VP","MERRILL LYNCH","Merrill Lynch","h30017256671"
"6899","09/12/2006",2006,250,"RL","FINANCIAL CONSULTANT","MERRILL LYNCH","Merrill Lynch","h30012448301"
"6900","09/21/2006",2006,1000,"RP","FINANCIAL ADVISOR","WELLS FARGO","Wells Fargo","h10014028181"
"6901","10/05/2006",2006,2100,"RW","MANAGER","GOLDMAN SACHS","Goldman Sachs","U00000035581"
"6902","11/02/2006",2006,500,"RW","ANALYST","MORGAN STANLEY","Morgan Stanley","f10006987371"
"6903","03/14/2005",2006,1000,"DW","MANAGING DIRECTOR, HEALTH CARE","MERRILL LYNCH","Merrill Lynch","h10013594411"
"6904","08/09/2005",2006,1000,"RP","INVESTMENT BROKER","GOLDMAN SACHS","Goldman Sachs","d00007430681"
"6905","11/14/2005",2006,1000,"RW","CHAIRMAN","WELLS FARGO","Wells Fargo","U00000000401"
"6906","08/03/2005",2006,10000,"RP","INVESTMENTS","FIRST BANK","First Bank Holding","a00011697591"
"6907","08/24/2005",2006,2000,"RP","VICE PRESIDENT","PNC BANK","Federated Investors Inc","b06083516871"
"6908","12/12/2005",2006,2100,"PI","MANAGING DIRECTOR","GOLDMAN SACHS","Goldman Sachs","d10069277901"
"6909","08/17/2006",2006,2100,"RW","FIRST VICE PRESIDENT","MERRILL LYNCH","Merrill Lynch","e11104362051"
"6910","09/18/2006",2006,1000,"PI","MANAGING DIRECTOR","MORGAN STANLEY","Morgan Stanley","h10011503781"
"6911","01/31/2006",2006,5000,"PI","CEO","GOLDMAN SACHS","Goldman Sachs","U00000001861"
"6912","12/30/2005",2006,1000,"DW","ATTORNEY","MERRILL LYNCH","Merrill Lynch","h30013263051"
"6913","09/16/2006",2006,5000,"PI","VP","GOLDMAN SACHS","Goldman Sachs","U00000035581"
"6914","08/18/2005",2006,500,"DW","STOCK ANALYST","MORGAN STANLEY","Morgan Stanley","f10006987371"
"6915","07/12/2006",2006,2100,"RL","BANKER","WELLS FARGO","Wells Fargo","i30037808571"
"6916","11/29/2005",2006,1000,"PI","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h30016446141"
"6917","01/27/2006",2006,1000,"PI","MANAGING DIRECTOR","GOLDMAN SACHS","Goldman Sachs","U00000002041"
"6918","06/30/2006",2006,5000,"PI","VICE PRESIDENT","MORGAN STANLEY","Morgan Stanley","U00000045131"
"6919","09/01/2006",2006,200,"RL","SENIOR FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h3003606346 "
"6920","10/17/2006",2006,200,"DP","BANKER","BANK OF AMERICA","Bank of America","h3001651732 "
"6921","09/26/2006",2006,200,"RL","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","h3001601868 "
"6922","09/21/2005",2006,200,"RP","SYSTEMS ARCHITECT","WELLS FARGO","Wells Fargo","h3001739990 "
"6923","09/01/2006",2006,500,"DP","INVESTMENT BANKER","JP MORGAN","JPMorgan Chase & Co","h10011519431"
"6924","12/28/2005",2006,2000,"RW","VP-FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","f1100224155 "
"6925","12/31/2005",2006,2000,"RW","INVESTMENT BANKER","BB&T","BB&T Corp","f9000244214 "
"6926","12/01/2005",2006,5000,"PI","INVESTMENT BANKER","GOLDMAN SACHS","Goldman Sachs","U00000035581"
"6927","10/17/2006",2006,5000,"RP","FINANCIAL ADVISOR","GOLDMAN SACHS","Goldman Sachs","h30019233621"
"6928","09/15/2005",2006,1000,"RW","BANKER","BANK OF AMERICA","Bank of America","f00000724791"
"6929","07/14/2005",2006,200,"RP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i0001263953 "
"6930","10/31/2005",2006,200,"RP","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003348313 "
"6931","10/23/2006",2006,200,"RW","VICE PRESIDENT","JP MORGAN","JPMorgan Chase & Co","i3003614737 "
"6932","11/03/2006",2006,1000,"DW","PRIME BROKERAGE","MERRILL LYNCH","Merrill Lynch","h10011401571"
"6933","09/29/2006",2006,200,"RL","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003884971 "
"6934","10/10/2006",2006,200,"RW","SR. VP","MORGAN STANLEY","Morgan Stanley","h1001486937 "
"6935","03/07/2005",2006,4000,"RP","PRESIDENT","MORGAN STANLEY","Morgan Stanley","f1000638783 "
"6936","02/23/2005",2006,1500,"RI","FIRST VICE PRESIDENT","MERRILL LYNCH","Merrill Lynch","d0000804864 "
"6937","03/24/2005",2006,4000,"RP","EXECUTIVE V. P. & C A O","MORGAN STANLEY","Morgan Stanley","f1100339273 "
"6938","03/29/2005",2006,2000,"RP","BANKER","MORGAN STANLEY","Morgan Stanley","h1001214921 "
"6939","05/27/2005",2006,4000,"PI","FINANCE BANKER","JP MORGAN","JPMorgan Chase & Co","g1100549433 "
"6940","06/24/2005",2006,2100,"DW","DIRECTOR","GOLDMAN SACHS","Goldman Sachs","e1110582063 "
"6941","08/14/2006",2006,300,"DW","TRAINING MANAGER","NORTHERN TRUST","Northern Trust","f1100294491 "
"6942","03/24/2006",2006,300,"RL","FINANCIAL SERVICES","MORGAN STANLEY","Morgan Stanley","i3003587980 "
"6943","06/17/2005",2006,250,"RP","INVESTMENT ADVISOR","GOLDMAN SACHS","Goldman Sachs","h10011114411"
"6944","06/24/2005",2006,2100,"DW","DIRECTOR","GOLDMAN SACHS","Goldman Sachs","e1110582063 "
"6945","09/22/2005",2006,2100,"DL","BROKER","GOLDMAN SACHS","Goldman Sachs","i3003347770 "
"6946","11/02/2006",2006,10000,"DP","PARTNER","GOLDMAN SACHS","Goldman Sachs","c0130273838 "
"6947","05/02/2006",2006,5000,"PI","PORTFOLIO MANAGER","MERRILL LYNCH","Merrill Lynch","d1005164690 "
"6948","09/12/2006",2006,5000,"DP","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","i3003818117 "
"6949","04/28/2005",2006,2100,"RL","MANAGING DIRECTOR","MERRILL LYNCH","Merrill Lynch","g1106228772 "
"6950","12/07/2005",2006,2000,"RP","FINANCE","GOLDMAN SACHS","Goldman Sachs","h1001214239 "
"6951","11/07/2005",2006,300,"RW","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","h3001610110 "
"6952","02/11/2005",2006,1350,"RP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h3001331834 "
"6953","06/14/2006",2006,5000,"PI","TRADER","BANK OF AMERICA","Bank of America","h1001290238 "
"6954","09/26/2006",2006,2000,"PI","EXECUTIVE","GOLDMAN SACHS","Goldman Sachs","i3003800111 "
"6955","07/14/2005",2006,1000,"RL","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","i30033970421"
"6956","02/11/2006",2006,1000,"RL","INVESTMENT BANKER","MERRILL LYNCH","Merrill Lynch","i30035833301"
"6957","06/30/2006",2006,2100,"RL","SALES AND TRADING","MORGAN STANLEY","Morgan Stanley","i3003631110 "
"6958","12/21/2005",2006,2500,"PI","MANAGING DIRECTOR","GOLDMAN SACHS","Goldman Sachs","h3001790117 "
"6959","12/31/2005",2006,1500,"PI","TRADER","MORGAN STANLEY","Morgan Stanley","i3003487115 "
"6960","10/30/2006",2006,2100,"DW","CHAIRMAN","M&T BANK","M&T Bank","a00005494321"
"6961","07/22/2005",2006,750,"RP","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","i3003354791 "
"6962","03/20/2005",2006,350,"RW","SENIOR VICE PRESIDENT","MERRILL LYNCH","Merrill Lynch","h1001324684 "
"6963","09/19/2006",2006,300,"RL","SENIOR FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h3003606346 "
"6964","03/29/2005",2006,300,"RP","FINANCIAL ADVISOR","GOLDMAN SACHS","Goldman Sachs","h1001134059 "
"6965","12/31/2005",2006,2100,"RL","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","i3003499033 "
"6966","11/08/2005",2006,300,"RW","INVESTMENTS","MORGAN STANLEY","Morgan Stanley","b0060459391 "
"6967","06/15/2006",2006,2100,"RL","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","i3003640968 "
"6968","10/30/2006",2006,2100,"DW","CHAIRMAN","M&T BANK","M&T Bank","a00005494321"
"6969","08/16/2006",2006,300,"RW","REGIONAL MANAGER","JP MORGAN","JPMorgan Chase & Co","i3003882724 "
"6970","03/24/2005",2006,4000,"RP","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","U0000004324 "
"6971","09/22/2005",2006,750,"RP","INVESTMENT BANKING","MERRILL LYNCH","Merrill Lynch","f0000178941 "
"6972","09/29/2006",2006,2100,"RW","ADVISOR","MORGAN STANLEY","Morgan Stanley","i3003802026 "
"6973","09/27/2006",2006,2100,"RW","VP","MERRILL LYNCH","Merrill Lynch","c0020158515 "
"6974","06/15/2006",2006,2100,"RL","INVESTMENT BANKER","MORGAN STANLEY","Morgan Stanley","i3003640968 "
"6975","10/16/2006",2006,2000,"RW","EXECUTIVE","MORGAN STANLEY","Morgan Stanley","i3003905308 "
"6976","06/30/2006",2006,2100,"RL","SALES AND TRADING","MORGAN STANLEY","Morgan Stanley","i3003631110 "
"6977","09/02/2005",2006,1000,"PI","1ST VICE-PRESIDENT","MERRILL LYNCH","Merrill Lynch","b06086115291"
"6978","10/24/2006",2006,400,"RL","BANKER","BANK OF AMERICA","Bank of America","i3003961877 "
"6979","08/06/2005",2006,260,"DW","FINANCIAL CONSULTANT","MERRILL LYNCH","Merrill Lynch","i3003390952 "
"6980","09/13/2006",2006,2100,"DW","BANKER","GOLDMAN SACHS","Goldman Sachs","U0000004159 "
"6981","09/15/2006",2006,450,"DP","SENIOR VICE PRESIDENT","BANK OF AMERICA","Bank of America","i3003855316 "
"6982","09/25/2006",2006,5000,"PI","VICE CHAIRMAN","MERRILL LYNCH","Merrill Lynch","i3003799682 "
